customer_id,Recency,Frequency,Monetary,RFM_Cluster
1,545,1,11.77,RISK
2,534,2,89.0,REGULAR
3,33,6,156.46,BIG SPENDER
4,200,4,100.5,REGULAR
5,178,11,385.61,BIG SPENDER
6,545,1,20.99,RISK
7,100,3,264.67,BIG SPENDER
8,93,8,197.66,BIG SPENDER
9,22,3,95.85,BIG SPENDER
10,525,1,39.31,RISK
11,130,4,58.55,BIG SPENDER
12,545,1,57.06,RISK
13,545,1,72.94,RISK
14,545,1,29.92,RISK
15,545,1,52.87,RISK
16,293,4,79.87,REGULAR
17,545,1,73.22,RISK
18,542,1,14.96,RISK
19,385,2,175.12,REGULAR
20,528,2,653.01,REGULAR
21,533,2,75.11,REGULAR
22,545,1,14.37,RISK
23,545,1,24.74,RISK
24,161,2,57.77,BIG SPENDER
25,22,8,137.53,STARS
26,520,2,102.69,REGULAR
27,534,2,135.87,REGULAR
28,479,3,90.99,REGULAR
29,65,12,435.81,BIG SPENDER
30,501,2,28.34,REGULAR
31,36,4,177.05,BIG SPENDER
32,111,3,78.21,BIG SPENDER
33,109,25,1045.47,BIG SPENDER
34,545,1,23.14,RISK
35,276,2,42.22,REGULAR
36,512,2,49.68,REGULAR
37,48,6,155.68,BIG SPENDER
38,545,1,12.49,RISK
39,111,5,221.45,BIG SPENDER
40,114,14,318.94,BIG SPENDER
41,545,1,17.99,RISK
42,544,2,38.32,REGULAR
43,37,5,117.32,BIG SPENDER
44,376,3,59.65,REGULAR
45,545,1,14.37,RISK
46,230,7,315.87,BIG SPENDER
47,24,21,427.8,STARS
48,17,20,649.93,STARS
49,545,1,27.94,RISK
50,545,1,6.79,RISK
51,211,6,367.38,BIG SPENDER
52,53,8,445.68,BIG SPENDER
53,57,6,86.21,BIG SPENDER
54,545,1,33.96,RISK
55,536,2,81.45,REGULAR
56,195,4,129.19,REGULAR
57,545,1,57.86,RISK
58,545,1,20.99,RISK
59,521,3,36.53,REGULAR
60,514,1,21.75,RISK
61,545,1,155.65,RISK
62,244,11,237.15,BIG SPENDER
63,40,4,120.91,BIG SPENDER
64,5,13,367.37,STARS
65,100,3,68.74,BIG SPENDER
66,545,1,39.99,RISK
67,529,3,71.49,REGULAR
68,545,1,40.36,RISK
69,542,2,217.08,REGULAR
70,545,1,72.23,RISK
71,545,1,13.97,RISK
72,545,1,11.99,RISK
73,471,3,94.57,REGULAR
74,545,1,41.99,RISK
75,545,1,69.81,RISK
76,545,1,9.99,RISK
77,545,1,12.97,RISK
78,68,2,95.26,BIG SPENDER
79,545,1,77.44,RISK
80,545,1,43.46,RISK
81,276,14,430.69,BIG SPENDER
82,81,6,242.8,BIG SPENDER
83,73,4,101.68,BIG SPENDER
84,545,1,13.97,RISK
85,543,1,26.31,RISK
86,545,1,23.94,RISK
87,265,4,206.55,BIG SPENDER
88,251,2,34.97,REGULAR
89,20,18,571.88,STARS
90,538,2,24.67,REGULAR
91,545,1,32.54,RISK
92,440,2,53.34,REGULAR
93,543,2,219.33,REGULAR
94,544,1,44.1,RISK
95,6,29,1515.27,STARS
96,3,19,1445.99,STARS
97,94,4,324.75,BIG SPENDER
98,403,2,76.46,REGULAR
99,196,7,267.25,BIG SPENDER
100,71,3,55.24,BIG SPENDER
101,528,1,23.54,RISK
102,121,4,157.47,BIG SPENDER
103,74,3,110.49,BIG SPENDER
104,545,1,14.96,RISK
105,545,1,35.31,RISK
106,150,6,202.1,BIG SPENDER
107,545,1,21.99,RISK
108,545,1,17.96,RISK
109,513,2,204.46,REGULAR
110,545,1,27.94,RISK
111,10,16,1107.04,STARS
112,510,2,23.54,REGULAR
113,115,3,59.67,BIG SPENDER
114,139,5,124.93,BIG SPENDER
115,545,1,13.97,RISK
116,545,1,12.77,RISK
117,103,3,58.97,BIG SPENDER
118,371,2,73.85,REGULAR
119,545,1,41.69,RISK
120,194,5,103.51,BIG SPENDER
121,545,1,12.49,RISK
122,545,1,27.74,RISK
123,545,1,31.99,RISK
124,200,5,138.35,BIG SPENDER
125,22,6,108.64,BIG SPENDER
126,210,2,302.75,BIG SPENDER
127,545,1,39.71,RISK
128,331,4,67.86,REGULAR
129,545,1,12.49,RISK
130,62,8,120.95,BIG SPENDER
131,545,1,30.32,RISK
132,50,6,302.43,BIG SPENDER
133,231,7,199.17,BIG SPENDER
134,173,3,49.38,REGULAR
135,545,2,84.39,REGULAR
136,216,2,81.96,REGULAR
137,545,1,27.73,RISK
138,545,1,14.99,RISK
139,540,1,11.77,RISK
140,423,2,44.06,REGULAR
141,54,7,147.75,BIG SPENDER
142,80,5,122.39,BIG SPENDER
143,545,2,41.48,REGULAR
144,545,1,30.72,RISK
145,31,23,521.96,STARS
146,545,1,13.97,RISK
147,199,8,288.07,BIG SPENDER
148,101,7,146.44,BIG SPENDER
149,522,2,106.54,REGULAR
150,545,1,15.36,RISK
151,545,1,13.97,RISK
152,163,6,243.96,BIG SPENDER
153,545,1,6.79,RISK
154,65,5,69.19,BIG SPENDER
155,545,1,23.99,RISK
156,545,1,10.77,RISK
157,489,2,80.21,REGULAR
158,545,1,43.05,RISK
159,545,1,19.75,RISK
160,545,1,19.74,RISK
161,29,11,416.91,STARS
162,545,1,119.54,RISK
163,545,1,25.74,RISK
164,1,8,245.59,STARS
165,29,3,34.75,BIG SPENDER
166,34,8,173.18,BIG SPENDER
167,202,8,186.46,BIG SPENDER
168,545,1,14.96,RISK
169,545,1,11.77,RISK
170,154,2,74.39,BIG SPENDER
171,545,1,14.96,RISK
172,545,1,50.95,RISK
173,88,2,49.83,BIG SPENDER
174,540,2,36.73,REGULAR
175,545,1,27.77,RISK
176,545,1,11.77,RISK
177,48,32,570.08,STARS
178,545,1,12.49,RISK
179,126,11,174.03,BIG SPENDER
180,306,2,62.59,REGULAR
181,545,1,43.7,RISK
182,43,4,91.72,BIG SPENDER
183,545,1,9.99,RISK
184,43,2,31.87,BIG SPENDER
185,39,5,115.19,BIG SPENDER
186,286,2,34.45,REGULAR
187,513,2,36.11,REGULAR
188,545,1,13.77,RISK
189,545,1,294.03,RISK
190,545,1,15.36,RISK
191,541,1,70.23,RISK
192,333,6,160.23,REGULAR
193,545,1,27.94,RISK
194,535,2,255.78,REGULAR
195,161,7,113.79,BIG SPENDER
196,545,1,25.54,RISK
197,421,3,53.97,REGULAR
198,545,1,15.76,RISK
199,545,1,14.37,RISK
