customer_id,order_date,order_quantity,order_amounts
1,19970101,2,29.33
1,19970118,2,29.73
1,19970802,1,14.96
1,19971212,2,26.48
2,19970101,3,63.34
2,19970113,1,11.77
3,19970101,1,6.79
4,19970101,1,13.97
5,19970101,2,23.94
6,19970101,1,35.99
6,19970111,1,32.99
6,19970315,4,77.96
6,19970416,3,59.3
6,19970424,2,134.98
6,19970623,1,91.92
6,19970722,3,47.08
6,19970726,2,71.96
6,19971025,3,78.47
6,19971206,3,83.47
6,19980118,4,84.46
6,19980215,4,123.96
6,19980221,2,32.98
6,19980226,2,23.06
6,19980510,1,72.99
6,19980620,3,55.47
7,19970101,1,11.77
7,19970205,1,11.77
8,19970101,3,32.91
8,19980304,1,15.27
8,19980307,1,11.49
9,19970101,1,16.36
9,19970501,2,28.13
9,19970908,1,22.97
9,19980210,1,28.49
9,19980211,2,28.98
10,19970101,2,30.32
11,19970101,1,18.99
11,19970127,1,14.37
11,19970201,1,9.77
11,19970302,1,15.99
11,19970504,3,47.33
11,19970621,3,59.74
11,19971111,2,32.98
12,19970101,1,13.97
13,19970101,2,29.53
13,19971130,2,16.48
13,19971213,3,36.97
13,19971221,2,17.98
13,19971224,3,36.97
13,19980224,1,11.49
13,19980318,1,11.88
13,19980527,1,11.88
14,19970101,3,43.7
15,19970101,1,15.76
16,19970101,1,12.49
17,19970101,2,25.98
17,19970206,2,23.54
17,19970211,1,13.97
17,19970212,1,27.77
17,19970228,1,9.98
17,19970311,1,15.36
17,19970527,1,21.97
17,19970531,1,17.3
17,19970708,3,51.75
17,19970807,2,36.74
17,19970828,1,23.97
17,19971229,3,41.47
17,19980106,1,29.99
18,19970101,1,13.97
18,19970204,1,9.99
19,19970102,2,35.93
19,19970223,2,26.73
19,19970420,2,23.76
19,19970719,2,24.74
19,19980215,1,15.49
19,19980505,3,43.47
20,19970102,2,17.96
21,19970102,1,14.99
21,19970302,2,34.6
21,19970414,1,29.99
22,19970102,1,8.77
23,19970102,1,14.7
24,19970102,1,14.96
25,19970102,2,87.74
25,19971221,1,14.99
26,19970102,1,3.99
26,19970113,10,166.89
26,19970113,4,60.25
27,19970102,1,15.9
28,19970102,2,26.14
28,19970727,4,80.46
29,19970102,1,46.37
30,19970102,2,28.76
30,19970212,2,40.47
31,19970102,1,44.77
32,19970102,1,10.77
33,19970102,1,25.99
34,19970102,1,14.99
35,19970102,1,11.77
35,19970711,2,31.14
35,19980614,1,59.49
36,19970102,1,14.96
37,19970102,3,34.97
38,19970102,3,47.0
38,19970117,1,13.97
39,19970102,1,15.36
39,19971009,1,16.99
40,19970102,1,14.99
41,19970103,1,11.77
42,19970103,1,11.97
43,19970103,4,45.67
44,19970103,4,49.67
45,19970103,1,8.97
45,19970623,1,14.96
46,19970103,3,40.7
46,19970114,1,14.96
46,19970121,2,43.13
46,19970127,1,14.96
46,19970204,2,39.33
46,19970411,2,29.92
46,19970627,2,37.93
46,19970710,2,26.73
46,19970714,2,29.58
46,19970729,1,14.96
46,19970731,1,21.97
46,19970828,2,29.73
46,19970828,2,27.74
46,19970901,2,23.54
46,19971013,2,32.48
46,19971028,2,24.48
46,19971214,3,35.97
46,19980110,2,26.48
46,19980213,2,28.98
46,19980301,2,30.98
46,19980305,2,32.47
46,19980325,2,25.98
46,19980415,1,11.88
46,19980531,1,12.99
47,19970103,1,14.37
48,19970103,1,12.49
49,19970103,1,17.9
49,19970114,1,14.37
50,19970103,3,27.92
51,19970103,3,55.1
51,19980411,6,93.81
51,19980411,2,20.98
52,19970103,1,24.99
53,19970103,1,12.97
53,19980410,2,34.41
54,19970103,2,28.74
55,19970103,1,52.99
56,19970103,1,14.37
56,19970706,1,13.97
56,19970823,4,42.08
57,19970103,1,11.77
57,19970202,1,15.36
57,19980420,2,26.3
58,19970104,1,14.96
59,19970104,3,44.71
59,19970930,1,6.49
59,19971124,1,12.99
59,19980319,1,36.99
60,19970104,8,121.34
61,19970104,4,56.27
61,19970120,4,62.9
61,19970120,1,15.36
61,19970224,3,63.95
61,19970224,1,24.99
61,19970303,1,15.36
61,19970729,1,31.03
61,19971217,2,29.48
61,19971218,1,28.49
61,19971222,3,66.97
62,19970104,10,186.67
63,19970104,2,27.34
63,19970427,3,43.13
63,19980330,2,28.97
64,19970104,1,13.97
65,19970104,3,35.31
66,19970104,2,21.98
67,19970104,4,59.08
67,19970126,10,144.08
67,19970601,8,122.88
67,19971112,8,140.42
68,19970104,2,24.94
69,19970104,1,16.99
70,19970104,2,36.94
70,19970111,1,11.77
70,19970602,5,71.02
70,19970728,3,45.09
70,19980418,7,106.03
71,19970104,2,145.47
72,19970104,1,12.77
73,19970104,4,51.87
73,19970214,5,69.23
73,19971207,1,15.49
74,19970104,1,14.99
75,19970104,6,53.46
75,19970209,2,20.77
76,19970104,8,117.1
77,19970104,1,18.36
78,19970105,1,14.96
79,19970105,1,13.97
79,19970307,1,13.77
79,19970322,1,14.37
79,19970503,3,32.51
80,19970105,5,96.36
81,19970105,2,33.96
82,19970105,5,66.84
82,19970226,3,42.09
83,19970105,2,21.76
84,19970105,1,14.96
85,19970105,1,14.99
86,19970105,1,14.96
86,19970203,2,24.74
86,19970205,1,8.0
86,19970225,1,13.97
86,19970227,1,27.77
86,19970318,3,45.28
86,19970624,4,58.68
86,19970709,1,14.96
86,19971230,1,17.49
86,19980227,1,18.49
86,19980323,1,10.49
86,19980617,3,46.47
87,19970105,1,0.0
88,19970105,1,16.3
88,19970105,1,13.99
88,19970214,2,14.96
88,19970305,2,11.58
88,19970326,1,6.79
88,19970413,1,6.79
88,19970724,1,12.25
88,19970804,2,20.74
88,19970824,1,11.77
88,19970824,1,12.25
88,19970903,1,14.96
88,19970909,1,12.99
88,19970910,1,11.49
88,19971007,1,5.49
88,19971118,1,4.49
88,19971118,1,5.49
88,19980301,1,5.49
88,19980306,1,2.99
89,19970105,5,71.63
90,19970105,1,37.97
91,19970105,6,79.94
91,19970826,1,14.99
92,19970105,4,47.28
92,19970111,4,60.84
92,19970114,2,19.94
92,19970122,2,24.74
92,19970210,2,23.54
92,19970518,6,99.19
92,19970924,3,76.97
92,19980418,5,62.79
93,19970105,1,34.9
94,19970105,3,43.09
95,19970105,3,31.51
96,19970105,3,56.51
97,19970105,2,36.36
98,19970105,1,11.77
98,19970622,2,25.74
98,19970816,3,41.1
98,19971221,1,14.99
98,19980128,3,38.97
99,19970105,1,6.79
99,19970115,1,4.79
99,19970824,2,24.5
99,19970911,4,35.96
99,19970925,2,17.48
99,19980117,3,32.47
99,19980326,3,58.97
99,19980505,3,21.09
100,19970105,1,16.99
100,19970621,2,26.22
101,19970106,5,62.45
101,19970213,1,12.49
101,19970505,1,6.79
101,19970526,1,6.79
101,19970813,3,37.31
101,19970916,2,23.98
101,19971117,2,15.48
101,19971120,1,14.49
101,19971210,1,14.99
101,19980603,2,24.48
102,19970106,1,19.99
103,19970106,4,34.74
104,19970106,1,22.7
105,19970106,6,79.21
105,19970624,7,92.8
106,19970106,3,52.3
106,19970218,3,52.3
107,19970106,6,125.82
108,19970106,2,32.98
109,19970106,2,27.13
109,19970108,3,39.09
110,19970106,3,42.49
110,19971108,2,29.48
111,19970106,1,9.97
111,19970108,1,12.97
111,19980604,1,12.58
112,19970106,7,156.0
113,19970106,1,11.77
114,19970106,1,14.37
114,19970624,1,24.99
115,19970106,2,29.33
116,19970106,1,8.77
116,19970212,3,28.31
116,19980102,4,58.46
116,19980526,3,14.47
117,19970106,1,8.77
118,19970106,1,11.77
119,19970106,1,9.98
120,19970106,1,19.77
121,19970106,1,15.96
121,19970127,1,13.77
122,19970106,11,163.52
123,19970106,1,24.99
124,19970106,1,14.96
125,19970106,1,10.99
125,19970225,3,36.71
125,19980213,1,7.49
126,19970107,2,34.98
127,19970107,3,28.37
128,19970107,1,10.77
129,19970107,1,6.79
129,19970109,2,9.58
129,19970124,2,19.16
129,19970213,1,13.97
129,19970301,1,11.77
130,19970107,1,12.77
130,19970315,1,14.37
130,19970619,2,28.74
130,19970708,1,14.96
131,19970107,4,49.87
131,19971110,6,66.94
132,19970107,1,27.99
132,19970624,4,71.66
133,19970107,1,13.7
133,19970409,1,11.77
133,19970725,1,15.96
133,19980121,1,9.49
133,19980305,1,11.49
133,19980325,1,12.99
133,19980603,1,12.58
133,19980609,1,9.99
134,19970107,1,8.77
134,19980525,1,15.99
135,19970107,2,35.36
135,19970620,2,19.54
135,19971208,4,44.96
135,19980211,3,32.74
136,19970107,2,44.98
136,19970205,2,19.96
136,19970228,1,26.99
137,19970107,1,12.97
138,19970107,1,14.99
138,19970223,2,29.98
138,19970505,5,73.62
138,19971127,8,106.42
138,19980319,3,30.4
138,19980321,1,9.49
138,19980505,7,97.95
139,19970107,1,11.77
139,19970122,2,29.33
140,19970107,1,11.77
140,19970427,2,23.54
141,19970107,7,79.99
142,19970107,2,59.98
142,19970108,2,27.14
142,19970109,4,51.66
142,19970206,1,12.97
142,19970207,2,26.14
142,19970224,3,59.97
142,19980108,1,13.99
142,19980204,2,22.98
143,19970107,2,26.73
143,19970124,1,14.96
143,19970726,1,15.36
144,19970107,1,174.99
144,19970121,2,45.35
144,19970221,1,17.9
144,19970228,1,15.7
144,19970513,2,26.73
144,19970729,1,31.03
144,19970814,1,17.95
144,19970903,1,5.78
144,19971020,1,29.99
144,19971021,1,11.49
144,19971112,1,25.49
144,19980212,1,14.49
144,19980609,1,29.99
145,19970107,1,14.96
145,19970122,1,14.96
145,19970914,1,22.99
146,19970107,5,70.42
147,19970107,1,13.97
147,19970207,1,14.39
147,19970515,2,41.95
147,19970705,2,43.57
147,19970731,1,9.77
147,19971211,1,14.99
148,19970107,1,9.98
148,19970117,3,44.32
148,19970127,1,39.47
148,19970305,2,73.98
148,19970319,1,7.98
148,19970324,1,12.77
148,19970410,1,29.95
148,19970805,3,30.54
148,19970819,1,12.25
148,19970819,1,17.7
148,19970825,3,17.37
148,19970826,2,26.73
148,19970911,1,12.99
148,19970917,8,43.92
148,19970929,1,11.49
148,19971006,2,24.48
148,19971028,1,20.99
148,19971209,2,27.98
148,19980310,1,11.19
148,19980310,2,25.98
148,19980313,2,33.98
149,19970107,1,13.97
149,19971209,2,25.98
149,19980130,2,28.48
149,19980220,3,35.47
149,19980419,1,21.22
149,19980419,1,12.99
149,19980428,1,15.99
150,19970107,4,46.48
150,19970122,3,35.31
150,19970203,2,26.14
150,19970731,2,28.93
150,19970826,2,23.74
150,19971114,2,22.48
150,19971124,1,12.99
151,19970107,1,11.77
151,19970223,4,59.84
151,19970714,1,14.79
151,19970908,1,10.77
151,19970911,1,14.37
152,19970107,1,30.97
153,19970107,1,11.77
154,19970107,1,15.36
154,19970127,1,16.7
155,19970107,1,0.0
156,19970107,1,11.77
156,19970221,2,34.32
157,19970107,1,11.99
157,19970110,1,9.97
157,19970114,1,13.97
157,19970119,3,46.08
157,19970122,1,5.99
157,19970129,2,27.94
157,19970203,2,23.98
157,19970215,4,55.47
157,19970314,1,14.99
157,19970320,1,14.96
157,19970402,1,14.96
157,19970404,5,72.44
157,19970408,2,27.94
157,19970418,1,14.96
157,19970418,1,11.97
157,19970420,1,14.96
157,19970504,1,12.77
157,19970508,1,14.96
157,19970515,1,12.77
157,19970602,3,41.69
157,19970627,2,29.92
157,19970706,1,15.36
157,19970722,1,15.96
157,19970731,1,14.96
157,19970803,1,14.96
157,19970820,2,29.92
157,19970906,1,15.36
157,19970911,3,39.97
157,19970916,2,25.98
157,19970927,4,57.96
157,19970928,4,48.46
157,19971007,1,12.49
157,19971025,2,25.98
157,19971025,1,13.99
157,19971102,1,12.99
157,19971123,1,13.99
157,19971125,2,29.98
157,19971125,1,7.49
157,19971217,1,12.99
157,19971218,2,25.98
157,19971224,1,12.99
157,19980102,1,12.99
157,19980127,1,14.99
157,19980310,2,42.98
157,19980412,1,11.88
157,19980517,3,60.45
157,19980611,4,37.96
158,19970108,1,14.37
159,19970108,2,30.36
159,19970109,4,59.06
159,19970128,3,50.97
159,19970630,2,29.73
160,19970108,2,31.54
161,19970108,4,63.93
161,19980609,1,14.49
162,19970108,2,26.14
162,19970122,3,46.28
163,19970108,1,73.3
164,19970108,1,17.7
164,19970125,10,139.7
164,19970325,6,78.22
164,19970414,4,52.68
164,19970624,3,40.7
164,19970714,5,69.63
164,19970715,2,26.74
164,19970722,4,57.45
164,19970825,6,72.82
164,19970904,4,49.48
164,19970924,3,36.97
164,19971022,5,72.95
164,19980106,2,24.48
164,19980107,4,107.96
164,19980205,2,29.06
164,19980324,1,8.49
164,19980406,2,26.48
165,19970108,2,24.98
165,19970108,2,28.74
166,19970108,3,49.08
166,19980129,4,51.96
167,19970108,1,12.49
167,19970205,4,49.96
167,19970310,2,13.58
167,19970315,1,12.79
167,19970416,2,24.98
167,19970514,7,100.93
167,19970515,3,32.3
167,19970516,2,11.58
167,19970519,2,20.76
167,19970520,3,28.81
167,19970606,1,5.78
167,19970624,1,12.25
167,19970723,1,4.99
167,19970724,1,12.25
167,19971014,4,49.96
167,19971020,1,11.49
167,19971024,2,24.98
167,19971107,4,35.96
167,19971118,1,12.49
167,19971120,3,47.97
167,19971201,2,16.98
167,19980102,2,53.48
167,19980106,4,63.96
167,19980111,5,105.95
167,19980127,5,66.95
167,19980209,2,24.98
167,19980218,1,11.02
167,19980320,1,5.99
167,19980328,3,40.97
167,19980513,3,41.97
168,19970108,1,14.37
169,19970108,2,25.77
170,19970108,1,18.99
170,19970927,1,14.49
170,19971129,1,13.99
170,19980411,1,14.49
171,19970108,1,64.99
172,19970108,1,51.37
173,19970108,8,93.57
174,19970108,1,18.36
175,19970108,1,6.79
176,19970109,10,166.3
177,19970109,1,12.49
178,19970109,5,63.29
178,19970117,6,70.62
178,19970328,2,38.93
178,19970519,3,41.31
178,19970629,1,11.77
178,19970810,1,17.7
178,19970827,2,30.72
178,19971112,3,45.47
178,19971127,2,25.98
178,19980113,2,25.98
178,19980116,2,25.98
178,19980221,2,23.98
178,19980228,2,25.98
178,19980313,2,25.98
178,19980507,1,15.49
179,19970109,4,47.08
179,19970203,3,29.97
179,19970209,4,68.45
179,19970302,2,55.96
179,19970324,5,62.93
179,19970416,3,40.7
179,19970621,3,47.28
179,19970713,2,31.76
179,19970919,4,56.96
179,19971123,1,9.99
179,19971123,2,98.98
179,19971130,1,39.49
179,19971227,3,38.97
179,19980119,5,70.47
179,19980222,4,56.05
179,19980407,3,43.36
179,19980408,1,21.99
180,19970109,1,17.96
181,19970109,1,15.76
182,19970109,1,12.97
183,19970109,1,15.36
183,19970213,1,15.76
183,19971114,2,20.98
183,19980421,2,16.98
183,19980508,1,14.99
184,19970109,1,8.77
185,19970109,3,27.55
185,19970111,2,27.94
185,19970118,2,29.78
185,19970223,1,14.96
185,19970919,3,62.97
185,19971105,2,10.98
185,19980612,1,20.99
186,19970109,1,14.96
187,19970109,1,13.97
187,19970207,1,13.77
187,19970305,1,9.97
187,19980220,1,12.49
188,19970109,1,3.99
188,19970320,2,23.76
188,19970401,3,44.69
188,19970606,3,45.51
188,19971223,3,41.47
189,19970109,4,51.86
189,19970205,1,11.77
189,19970217,2,29.13
189,19970220,3,44.49
190,19970109,1,28.99
191,19970109,2,27.94
192,19970109,2,30.54
193,19970109,3,52.63
194,19970109,1,16.99
195,19970109,1,14.3
195,19970210,1,22.97
195,19970509,2,16.56
195,19970527,2,48.94
195,19970611,1,39.51
195,19970616,1,10.77
195,19970717,1,33.86
196,19970109,3,36.75
197,19970109,2,29.36
197,19970120,2,27.13
198,19970109,3,46.68
198,19971102,1,29.49
199,19970109,1,27.77
200,19970110,3,47.73
200,19970201,1,23.99
200,19970420,3,58.97
200,19980110,1,11.49
201,19970110,2,21.54
202,19970110,1,12.49
202,19970204,2,25.26
202,19970228,1,12.49
203,19970110,1,16.7
203,19970701,1,15.96
203,19970815,1,27.77
204,19970110,2,28.35
205,19970110,1,10.77
206,19970110,4,56.87
206,19970516,1,14.96
207,19970110,1,12.99
208,19970110,4,82.96
208,19970112,2,34.27
209,19970110,1,14.37
210,19970110,3,59.97
211,19970110,3,35.31
211,19970211,3,61.11
211,19970223,5,141.6
211,19970314,3,37.51
211,19970322,6,80.21
211,19970411,5,68.05
211,19970502,5,62.25
211,19970515,4,51.94
211,19971113,5,92.95
211,19971125,2,24.48
211,19971203,1,21.49
211,19971230,2,30.98
211,19980323,2,41.48
211,19980627,3,61.47
212,19970110,1,31.98
213,19970110,1,13.97
213,19980614,6,81.44
214,19970110,1,14.96
215,19970110,1,19.99
215,19970727,1,14.96
215,19970801,1,13.97
215,19971208,2,24.48
216,19970110,1,14.96
216,19980328,2,24.98
217,19970110,1,13.97
217,19970128,2,25.74
217,19970226,3,37.9
217,19970614,3,44.29
217,19970629,3,41.1
217,19980418,2,25.98
218,19970111,5,63.25
218,19980221,5,70.38
219,19970111,3,41.75
219,19970425,1,14.99
220,19970111,1,21.99
220,19970722,2,21.74
221,19970111,1,21.77
222,19970111,1,11.77
223,19970111,5,69.29
224,19970111,1,11.77
225,19970111,2,24.54
226,19970111,1,11.77
226,19970208,1,15.7
226,19970401,1,24.99
227,19970111,1,0.0
228,19970111,1,22.97
228,19970125,1,13.97
229,19970111,2,22.74
229,19970124,1,9.77
230,19970111,1,12.49
230,19970827,5,50.52
230,19970830,1,6.78
230,19980528,1,23.99
231,19970111,4,58.28
231,19971119,1,22.49
231,19980512,5,72.04
232,19970111,1,17.36
232,19970601,2,29.73
232,19970618,2,26.14
232,19970924,1,10.99
232,19971120,1,76.99
232,19980516,2,18.64
232,19980531,2,26.57
232,19980622,3,38.47
233,19970111,2,29.92
234,19970111,3,35.31
235,19970111,1,11.77
236,19970111,1,5.78
237,19970111,1,15.96
238,19970111,1,16.7
239,19970111,1,14.37
240,19970111,5,58.85
241,19970111,1,22.7
241,19971007,1,11.99
241,19971016,1,14.49
241,19971120,1,19.99
241,19971205,1,21.49
241,19980211,2,24.98
242,19970111,1,14.37
242,19970301,1,14.96
242,19970313,1,13.97
242,19970711,3,37.51
242,19970819,2,29.92
